City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
140,Mataura,NZ,2021-06-01 18:57:04,-46.1927,168.8643,49.48,77,100,5.75
141,Saint Anthony,US,2021-06-01 18:57:04,45.0205,-93.218,79.75,35,40,1.99
142,Culasi,PH,2021-06-01 18:57:04,11.4272,122.056,79.63,91,100,15.79
143,Lorengau,PG,2021-06-01 18:57:05,-2.0226,147.2712,77.7,83,88,3.33
144,Cherskiy,RU,2021-06-01 18:57:05,68.75,161.3,62.06,32,8,2.98
145,Nairn,GB,2021-06-01 18:57:05,57.5809,-3.8797,65.73,74,0,11.14
146,Richards Bay,ZA,2021-06-01 18:57:06,-28.783,32.0377,63.16,69,100,17.52
147,Baykit,RU,2021-06-01 18:55:43,61.67,96.37,51.64,68,100,4.0
148,Kodiak,US,2021-06-01 18:57:07,57.79,-152.4072,47.71,87,90,11.5
149,Sandwick,GB,2021-06-01 18:57:07,60.0,-1.25,51.62,82,0,6.49
150,Guerrero Negro,MX,2021-06-01 18:57:07,27.9769,-114.0611,72.88,49,2,10.87
151,Port Elizabeth,ZA,2021-06-01 18:57:08,-33.918,25.5701,59.29,94,75,5.75
152,Tiksi,RU,2021-06-01 18:57:08,71.6872,128.8694,36.36,90,93,3.15
153,Touros,BR,2021-06-01 18:57:08,-5.1989,-35.4608,85.1,67,36,13.91
154,La Paz,BO,2021-06-01 18:54:05,-16.5,-68.15,62.58,10,75,8.05
155,Kontagora,NG,2021-06-01 18:57:09,10.3999,5.4695,86.16,52,52,9.1
156,Gamba,GA,2021-06-01 18:57:09,-2.65,10.0,75.85,84,65,4.54
157,Mount Gambier,AU,2021-06-01 18:57:09,-37.8333,140.7667,46.31,76,40,6.91
158,Leningradskiy,RU,2021-06-01 18:57:10,69.3833,178.4167,28.69,87,60,13.53
159,Dawei,MM,2021-06-01 18:57:10,14.0833,98.2,79.21,91,31,2.66
160,Semporna,MY,2021-06-01 18:57:10,4.4818,118.6112,73.6,85,100,4.47
161,Provideniya,RU,2021-06-01 18:57:11,64.3833,-173.3,37.63,50,0,13.44
162,Boa Vista,BR,2021-06-01 18:55:09,2.8197,-60.6733,84.18,65,75,8.05
163,Vanavara,RU,2021-06-01 18:57:11,60.34,102.2797,50.47,67,7,3.74
164,Terenos,BR,2021-06-01 18:57:11,-20.4422,-54.8603,82.11,54,75,4.45
165,Luderitz,NA,2021-06-01 18:57:12,-26.6481,15.1594,65.32,36,0,11.77
166,Ayagoz,KZ,2021-06-01 18:57:12,47.9714,80.4392,63.68,61,100,0.92
167,Da Nang,VN,2021-06-01 18:55:33,16.0678,108.2208,87.85,66,20,4.61
168,Manokwari,ID,2021-06-01 18:57:12,-0.8667,134.0833,78.84,78,83,4.79
169,Adrar,MR,2021-06-01 18:57:13,20.5022,-10.0711,101.61,16,100,9.35
170,Upernavik,GL,2021-06-01 18:57:13,72.7868,-56.1549,31.51,86,29,5.37
171,Farrukhnagar,IN,2021-06-01 18:57:13,17.0778,78.2011,83.57,51,46,3.38
172,Luzhou,CN,2021-06-01 18:57:14,28.8724,105.4405,74.5,83,99,1.14
173,Basco,PH,2021-06-01 18:57:14,20.4487,121.9702,83.77,79,96,9.4
174,Ada,US,2021-06-01 18:57:14,43.4166,-116.1262,83.34,28,94,8.99
175,Mapiripan,CO,2021-06-01 18:57:15,2.8892,-72.1256,83.79,70,49,4.74
176,Peterhead,GB,2021-06-01 18:57:15,57.5058,-1.7981,61.12,91,10,11.23
177,Poum,NC,2021-06-01 18:57:15,-20.2333,164.0167,71.33,62,9,8.05
178,Sao Lourenco Do Sul,BR,2021-06-01 18:57:16,-31.3653,-51.9783,75.25,56,23,7.83
179,Chara,RU,2021-06-01 18:57:16,56.9064,118.2631,50.63,66,100,4.12
180,Sao Filipe,CV,2021-06-01 18:57:16,14.8961,-24.4956,74.37,77,100,8.28
181,Mandalgovi,MN,2021-06-01 18:57:17,45.7625,106.2708,37.8,58,100,9.62
182,Saldanha,ZA,2021-06-01 18:57:17,-33.0117,17.9442,55.45,86,0,11.72
183,Pacifica,US,2021-06-01 18:53:31,37.6138,-122.4869,89.26,78,20,1.99
184,Krasnyye Baki,RU,2021-06-01 18:57:17,57.131,45.1599,52.02,65,95,5.23
185,Charters Towers,AU,2021-06-01 18:57:18,-20.1,146.2667,58.84,94,8,7.31
186,Bardiyah,LY,2021-06-01 18:57:18,31.7561,25.0865,69.73,69,97,13.24
187,Faanui,PF,2021-06-01 18:57:18,-16.4833,-151.75,79.93,69,38,14.52
188,Bengkulu,ID,2021-06-01 18:57:19,-3.8004,102.2655,75.94,88,64,3.94
189,Tizayuca,MX,2021-06-01 18:57:19,19.8333,-98.9833,74.57,27,5,8.21
190,Constantine,DZ,2021-06-01 18:53:06,36.365,6.6147,83.61,34,75,8.05
191,Wajir,KE,2021-06-01 18:57:19,1.7471,40.0573,84.16,51,0,0.0
192,Port Hueneme,US,2021-06-01 18:55:30,34.1478,-119.1951,91.02,79,90,9.22
193,Fez,MA,2021-06-01 18:57:20,34.0372,-4.9998,78.91,41,0,13.42
194,Tessalit,ML,2021-06-01 18:57:20,20.1986,1.0114,100.51,6,71,8.14
195,Neiafu,TO,2021-06-01 18:57:20,-18.65,-173.9833,70.48,100,90,5.75
196,Talnakh,RU,2021-06-01 18:57:21,69.4865,88.3972,28.35,97,75,2.71
197,Hanmer Springs,NZ,2021-06-01 18:57:21,-42.5167,172.8167,39.24,86,32,6.31
198,Zheleznodorozhnyy,RU,2021-06-01 18:57:21,55.7503,38.0042,55.81,65,7,5.23
199,Anadyr,RU,2021-06-01 18:57:22,64.75,177.4833,36.1,64,0,4.56
200,Ponta Do Sol,PT,2021-06-01 18:57:22,32.6667,-17.1,70.43,77,75,4.88
201,Mangan,IN,2021-06-01 18:57:22,27.5167,88.5333,73.36,93,100,1.23
202,Pathein,MM,2021-06-01 18:57:23,16.7833,94.7333,81.41,82,70,4.12
203,Naze,JP,2021-06-01 18:57:23,28.3667,129.4833,70.9,87,99,13.85
204,Cabo San Lucas,MX,2021-06-01 18:57:24,22.8909,-109.9124,97.81,52,69,7.36
205,Bambous Virieux,MU,2021-06-01 18:57:24,-20.3428,57.7575,72.21,100,75,14.85
206,Zelenogorskiy,RU,2021-06-01 18:57:24,55.0333,87.0,66.72,66,74,2.37
207,Mezhdurechensk,RU,2021-06-01 18:57:24,53.6942,88.0603,51.46,72,95,3.36
208,Maldonado,UY,2021-06-01 18:57:25,-34.6667,-54.9167,65.59,61,100,16.11
209,Innisfail,AU,2021-06-01 18:57:25,-17.5333,146.0333,69.01,84,80,3.62
210,Helong,CN,2021-06-01 18:57:25,42.5397,128.9972,49.55,95,94,4.56
211,Meulaboh,ID,2021-06-01 18:57:26,4.1363,96.1285,78.57,86,100,2.73
212,Mahajanga,MG,2021-06-01 18:57:26,-15.7167,46.3167,75.22,94,20,0.0
213,Broome,US,2021-06-01 18:57:26,42.2506,-75.833,75.69,44,98,1.99
214,Santa Catarina De Tepehuanes,MX,2021-06-01 18:57:27,25.35,-105.7333,84.61,16,11,10.22
215,Nemuro,JP,2021-06-01 18:57:27,43.3236,145.575,43.77,89,72,8.21
216,Mutoko,ZW,2021-06-01 18:57:27,-17.397,32.2268,64.13,55,99,3.89
217,Gagra,GE,2021-06-01 18:57:28,43.3283,40.2239,63.52,92,100,5.37
218,Lagoa,PT,2021-06-01 18:57:28,39.05,-27.9833,59.38,62,16,15.05
219,Maragogi,BR,2021-06-01 18:57:28,-9.0122,-35.2225,79.48,71,10,7.0
220,Soto La Marina,MX,2021-06-01 18:57:29,23.7667,-98.2167,92.39,46,100,19.44
221,Saint Joseph,US,2021-06-01 18:57:29,39.7686,-94.8466,71.8,67,90,3.44
222,Alice Springs,AU,2021-06-01 18:57:29,-23.7,133.8833,62.15,29,75,0.31
223,Torbay,CA,2021-06-01 18:57:30,47.6666,-52.7314,65.17,82,75,25.32
224,Sishui,CN,2021-06-01 18:57:30,35.6489,117.2758,68.95,84,100,5.82
225,Digha,IN,2021-06-01 18:57:30,21.6833,87.55,85.12,87,26,13.27
226,Rocha,UY,2021-06-01 18:57:31,-34.4833,-54.3333,63.91,56,99,13.13
227,Salalah,OM,2021-06-01 18:54:59,17.0151,54.0924,81.82,78,100,7.83
228,Taoudenni,ML,2021-06-01 18:57:31,22.6783,-3.9836,106.99,8,19,7.58
229,Sola,VU,2021-06-01 18:57:31,-13.8833,167.55,79.34,79,100,23.76
230,Alta Floresta,BR,2021-06-01 18:57:32,-9.8756,-56.0861,91.22,43,40,5.75
231,Doka,SD,2021-06-01 18:57:32,13.5167,35.7667,96.69,17,96,5.73
232,Tarata,BO,2021-06-01 18:57:32,-17.6167,-66.0167,74.07,8,94,2.66
233,Lata,PT,2021-06-01 18:57:33,40.1629,-8.3327,63.05,77,100,4.45
234,Dunedin,NZ,2021-06-01 18:57:33,-45.8742,170.5036,46.29,69,93,9.46
235,Ahuimanu,US,2021-06-01 18:57:34,21.4447,-157.8378,82.78,65,23,8.08
236,Port Hawkesbury,CA,2021-06-01 18:57:34,45.6169,-61.3485,56.91,85,90,5.99
237,Kahului,US,2021-06-01 18:52:52,20.8947,-156.47,83.97,67,1,4.61
238,Gashua,NG,2021-06-01 18:57:34,12.871,11.0482,93.65,22,30,3.62
239,Sao Borja,BR,2021-06-01 18:57:35,-28.6606,-56.0044,71.65,44,7,4.85
240,Asau,RO,2021-06-01 18:57:35,46.4333,26.4,51.76,94,100,7.31
241,Delmas,HT,2021-06-01 18:57:35,18.5447,-72.3028,85.75,61,99,6.69
242,Zhanaozen,KZ,2021-06-01 18:57:36,43.3,52.8,80.8,32,0,5.66
243,Gejiu,CN,2021-06-01 18:57:36,23.306,103.1635,59.29,88,34,1.68
244,The Valley,AI,2021-06-01 18:57:36,18.217,-63.0578,85.86,65,20,17.27
245,Constitucion,CL,2021-06-01 18:57:37,-35.3333,-72.4167,58.33,99,100,5.19
246,Koumac,NC,2021-06-01 18:57:37,-20.5667,164.2833,66.11,70,6,4.59
247,Raudeberg,NO,2021-06-01 18:57:38,61.9875,5.1352,71.2,79,3,4.09
248,Tilichiki,RU,2021-06-01 18:57:38,60.4667,166.1,41.23,64,5,1.34
249,Aneby,SE,2021-06-01 18:57:38,57.839,14.8102,57.2,69,0,9.66
250,Westport,US,2021-06-01 18:57:39,41.1415,-73.3579,80.28,51,100,1.01
251,Kerema,PG,2021-06-01 18:57:39,-7.9631,145.7785,77.2,90,93,6.38
252,Letka,RU,2021-06-01 18:57:39,59.6011,49.4232,46.85,83,82,5.46
253,Mitu,CO,2021-06-01 18:57:40,1.1983,-70.1733,80.94,87,98,2.64
254,Chengde,CN,2021-06-01 18:57:40,40.9725,117.9361,57.52,79,90,1.03
255,Flinders,AU,2021-06-01 18:57:40,-34.5833,150.8552,51.39,79,23,1.01
256,Phan Thiet,VN,2021-06-01 18:57:41,10.9333,108.1,79.79,87,100,4.88
257,Namibe,AO,2021-06-01 18:57:41,-15.1961,12.1522,70.68,84,87,5.23
258,Ciechanow,PL,2021-06-01 18:57:41,52.8814,20.62,62.46,84,100,7.4
259,Rundu,NA,2021-06-01 18:57:42,-17.9333,19.7667,59.22,27,90,6.02
260,Sosnovo-Ozerskoye,RU,2021-06-01 18:57:42,52.5249,111.5418,43.59,96,100,5.95
261,Mao,ES,2021-06-01 18:57:42,39.8885,4.2658,68.56,94,75,19.57
262,Ugoofaaru,MV,2021-06-01 18:57:43,5.6667,73.0,83.26,69,65,16.89
263,Verin,ES,2021-06-01 18:57:43,41.9415,-7.4381,69.57,67,46,6.22
264,Aklavik,CA,2021-06-01 18:57:43,68.2191,-135.0107,34.52,80,90,8.05
265,Eureka,US,2021-06-01 18:57:43,40.8021,-124.1637,91.67,75,42,3.0
266,Umm Lajj,SA,2021-06-01 18:57:44,25.0213,37.2685,89.24,54,98,7.05
267,Saint Stephen,GB,2021-06-01 18:57:44,50.3333,-4.9,68.27,40,0,11.27
268,Sabha,LY,2021-06-01 18:57:44,27.0377,14.4283,91.99,16,4,10.27
269,Ostrovnoy,RU,2021-06-01 18:57:45,68.0531,39.5131,44.11,90,100,12.71
270,Ambalavao,MG,2021-06-01 18:57:45,-21.8333,46.9333,61.38,94,100,4.03
271,Banjar,ID,2021-06-01 18:57:45,-8.19,114.9675,76.86,83,22,2.8
272,Akyab,MM,2021-06-01 18:57:46,20.15,92.9,82.87,82,41,4.45
273,Merritt Island,US,2021-06-01 18:57:46,28.5392,-80.672,94.05,66,40,10.29
274,Tabuk,PH,2021-06-01 18:57:46,17.4189,121.4443,76.42,87,100,2.44
275,Vestmannaeyjar,IS,2021-06-01 18:57:47,63.4427,-20.2734,45.54,80,100,15.01
276,Genhe,CN,2021-06-01 18:57:47,50.7833,121.5167,41.38,98,100,2.73
277,Pingliang,CN,2021-06-01 18:57:47,35.5392,106.6861,64.87,61,100,3.04
278,Qurayyat,SA,2021-06-01 18:57:48,31.3318,37.3428,84.38,23,0,19.53
279,Eskil,TR,2021-06-01 18:57:48,38.4017,33.4131,57.94,63,89,7.85
280,Zhangye,CN,2021-06-01 18:57:48,38.9342,100.4517,63.95,16,100,15.23
281,Methoni,GR,2021-06-01 18:57:49,36.8197,21.7049,66.06,68,5,19.13
282,Ola,RU,2021-06-01 18:57:49,59.5833,151.2833,37.63,98,100,3.76
283,Verkhnyaya Inta,RU,2021-06-01 18:57:49,65.9811,60.3094,34.03,78,100,19.86
284,Ilulissat,GL,2021-06-01 18:57:50,69.2167,-51.1,36.88,73,21,5.86
285,Kaitangata,NZ,2021-06-01 18:57:50,-46.2817,169.8464,47.93,70,99,10.16
286,Enshi,CN,2021-06-01 18:57:50,30.3,109.4833,71.26,85,100,0.98
287,Bosobolo,CD,2021-06-01 18:57:51,4.1833,19.9,74.19,71,77,2.68
288,West Fargo,US,2021-06-01 18:57:51,46.875,-96.9004,80.65,18,1,5.99
289,Shimoda,JP,2021-06-01 18:57:51,34.6667,138.95,69.12,86,100,2.51
290,Bhag,PK,2021-06-01 18:57:52,29.0415,67.8239,95.7,27,0,1.63
291,Turukhansk,RU,2021-06-01 18:57:52,65.8167,87.9833,31.66,87,5,4.41
292,Yar-Sale,RU,2021-06-01 18:57:52,66.8333,70.8333,34.05,72,2,10.63
293,Dalaba,GN,2021-06-01 18:57:53,10.7,-12.25,66.94,92,98,4.83
294,Komsomolskoye,RU,2021-06-01 18:57:53,55.2567,47.5461,51.82,78,100,7.07
